Field,Keyword Variation
Share Capital,Share Capital share capital outstanding
Share Capital,Share Capital paid up capital refer note
Share Capital,Share Capital paid-up share capital refer note
Share Capital,Share Capital issued capital for the year
Share Capital,Share Capital paid up capital balance
Share Capital,Share Capital paid-up share capital as at
Share Capital,paid up capital
Share Capital,paid up capital gross
Share Capital,issued capital outstanding
Share Capital,paid-up share capital refer note
Share Capital,equity share capital for the year
Share Capital,Share Capital issued capital march
Share Capital,Share Capital paid up capital march
Share Capital,issued capital net
Share Capital,equity share capital refer note
Share Capital,issued capital for the year
Share Capital,Share Capital paid up capital total
Share Capital,Share Capital share capital ind as
Share Capital,called up capital
Share Capital,Share Capital authorised capital ind as
Share Capital,issued capital march
Share Capital,issued capital amount
Share Capital,issued capital gross
Share Capital,paid up capital balance
Share Capital,authorised capital per note
Share Capital,share capital equity
Share Capital,authorised capital total
Share Capital,issued capital schedule
Share Capital,Share Capital equity share capital per note
Share Capital,Share Capital paid-up share capital per note
Share Capital,equity share capital schedule
Share Capital,share capital refer note
Share Capital,paid-up share capital gross
Share Capital,Share Capital authorised capital outstanding
Share Capital,share capital per note
Share Capital,Share Capital paid-up share capital march
Share Capital,Share Capital share capital total
Share Capital,paid up capital ind as
Share Capital,Share Capital authorised capital refer note
Share Capital,Share Capital paid up capital
Share Capital,equity share capital total
Share Capital,equity share capital amount
Share Capital,Share Capital equity share capital consolidated
Retained Earnings,Retained Earnings balance in profit and loss total
Retained Earnings,balance in profit and loss
Retained Earnings,surplus in profit and loss gross
Retained Earnings,surplus in profit and loss for the year
Retained Earnings,Retained Earnings surplus in statement of profit total
Retained Earnings,Retained Earnings accumulated profit outstanding
Retained Earnings,Retained Earnings accumulated profit per note
Retained Earnings,Retained Earnings balance in profit and loss for the year
Retained Earnings,accumulated profit standalone
Retained Earnings,Retained Earnings retained profit per note
Retained Earnings,surplus in statement of profit total
Retained Earnings,retained earnings balance
Retained Earnings,Retained Earnings retained profit as at
Retained Earnings,Retained Earnings profit carried forward as at
Retained Earnings,accumulated profit net
Retained Earnings,profit carried forward balance
Retained Earnings,Retained Earnings profit carried forward amount
Retained Earnings,Retained Earnings retained earnings gross
Retained Earnings,profit carried forward schedule
Retained Earnings,Retained Earnings profit carried forward per note
Retained Earnings,retained earnings per note
Retained Earnings,Retained Earnings balance in profit and loss net
Retained Earnings,profit carried forward march
Retained Earnings,Retained Earnings profit carried forward outstanding
Retained Earnings,retained earnings march
Retained Earnings,retained profit outstanding
Retained Earnings,accumulated profit for the year
Retained Earnings,balance in profit and loss schedule
Retained Earnings,retained profit gross
Retained Earnings,Retained Earnings profit carried forward
Retained Earnings,retained earnings ind as
Retained Earnings,Retained Earnings retained profit
Retained Earnings,Retained Earnings surplus in profit and loss outstanding
Retained Earnings,Retained Earnings retained earnings as at
Retained Earnings,balance in profit and loss amount
Retained Earnings,retained earnings net
Retained Earnings,Retained Earnings surplus in profit and loss gross
Retained Earnings,surplus in profit and loss net
Retained Earnings,Retained Earnings retained earnings march
Retained Earnings,Retained Earnings retained earnings consolidated
Retained Earnings,Retained Earnings accumulated profit balance
Retained Earnings,balance in profit and loss refer note
Retained Earnings,Retained Earnings surplus in profit and loss march
Retained Earnings,Retained Earnings accumulated profit amount
Retained Earnings,surplus in profit and loss as at
Retained Earnings,Retained Earnings profit carried forward gross
Retained Earnings,surplus in profit and loss
Retained Earnings,Retained Earnings retained profit schedule
Retained Earnings,Retained Earnings surplus in profit and loss for the year
Retained Earnings,retained earnings schedule
Retained Earnings,Retained Earnings surplus in profit and loss refer note
Retained Earnings,balance in profit and loss per note
Retained Earnings,balance in profit and loss balance
Retained Earnings,retained profit net
Retained Earnings,retained profit balance
Retained Earnings,Retained Earnings balance in profit and loss amount
Retained Earnings,Retained Earnings profit carried forward for the year
Retained Earnings,retained earnings amount
Retained Earnings,retained profit refer note
Retained Earnings,retained earnings total
Retained Earnings,profit carried forward consolidated
Retained Earnings,Retained Earnings accumulated profit refer note
Retained Earnings,balance in profit and loss outstanding
Retained Earnings,surplus in profit and loss per note
Retained Earnings,Retained Earnings retained profit gross
Retained Earnings,balance in statement
Retained Earnings,profit carried forward gross
Retained Earnings,Retained Earnings profit carried forward consolidated
Retained Earnings,accumulated profit balance
Retained Earnings,Retained Earnings retained earnings per note
Retained Earnings,Retained Earnings surplus in statement of profit net
Retained Earnings,Retained Earnings balance in statement
Retained Earnings,Retained Earnings balance in profit and loss schedule
Retained Earnings,profit carried forward standalone
Retained Earnings,retained earnings outstanding
Retained Earnings,Retained Earnings retained earnings schedule
Retained Earnings,balance in profit and loss gross
Retained Earnings,Retained Earnings accumulated profit gross
Retained Earnings,Retained Earnings balance in profit and loss outstanding
Retained Earnings,Retained Earnings retained profit net
Retained Earnings,retained profit total
Retained Earnings,profit carried forward net
Retained Earnings,surplus in profit and loss consolidated
Retained Earnings,retained earnings for the year
Retained Earnings,accumulated profit consolidated
Retained Earnings,Retained Earnings retained earnings outstanding
Retained Earnings,Retained Earnings retained profit consolidated
Retained Earnings,surplus in profit and loss schedule
Retained Earnings,Retained Earnings surplus in profit and loss ind as
Retained Earnings,Retained Earnings retained earnings balance
Retained Earnings,surplus in profit and loss total
Retained Earnings,Retained Earnings accumulated profit consolidated
Retained Earnings,balance in profit and loss net
Retained Earnings,accumulated profit march
Retained Earnings,retained earnings consolidated
Retained Earnings,surplus in profit and loss amount
Retained Earnings,Retained Earnings surplus in profit and loss schedule
Retained Earnings,retained profit standalone
Retained Earnings,Retained Earnings retained profit ind as
Retained Earnings,profit carried forward amount
Retained Earnings,balance in profit and loss consolidated
Retained Earnings,profit carried forward total
Retained Earnings,retained earnings gross
Retained Earnings,accumulated profit
Retained Earnings,Retained Earnings balance in profit and loss balance
Retained Earnings,surplus in statement of profit net
Retained Earnings,profit carried forward refer note
Retained Earnings,accumulated profit as at
Retained Earnings,Retained Earnings accumulated profit schedule
Retained Earnings,profit carried forward ind as
Retained Earnings,Retained Earnings profit carried forward balance
Retained Earnings,balance in profit and loss total
Retained Earnings,retained profit march
Retained Earnings,Retained Earnings retained profit total
Retained Earnings,retained profit for the year
Retained Earnings,profit carried forward as at
Retained Earnings,surplus in profit and loss outstanding
Retained Earnings,retained profit per note
Retained Earnings,balance in profit and loss ind as
Retained Earnings,Retained Earnings surplus in profit and loss standalone
Retained Earnings,Retained Earnings accumulated profit total
Retained Earnings,Retained Earnings surplus in profit and loss consolidated
Retained Earnings,Retained Earnings balance in profit and loss consolidated
Retained Earnings,accumulated profit gross
Retained Earnings,Retained Earnings surplus in profit and loss net
Retained Earnings,retained earnings as at
Retained Earnings,profit carried forward
Retained Earnings,Retained Earnings surplus in statement of profit
Retained Earnings,accumulated profit amount
Retained Earnings,retained earnings refer note
Retained Earnings,balance in profit and loss standalone
Retained Earnings,accumulated profit outstanding
Retained Earnings,Retained Earnings retained earnings amount
Retained Earnings,Retained Earnings accumulated profit for the year
Retained Earnings,accumulated profit schedule
Retained Earnings,Retained Earnings surplus in profit and loss as at
Retained Earnings,Retained Earnings surplus in profit and loss amount
Retained Earnings,Retained Earnings surplus in profit and loss balance
Retained Earnings,Retained Earnings balance in profit and loss refer note
Retained Earnings,Retained Earnings balance in profit and loss per note
Retained Earnings,Retained Earnings surplus in profit and loss total
Retained Earnings,Retained Earnings retained profit outstanding
Retained Earnings,Retained Earnings profit carried forward schedule
Retained Earnings,Retained Earnings balance in profit and loss standalone
Retained Earnings,Retained Earnings retained earnings
Retained Earnings,retained profit schedule
Retained Earnings,Retained Earnings retained profit refer note
Retained Earnings,Retained Earnings profit carried forward net
Retained Earnings,accumulated profit refer note
Retained Earnings,Retained Earnings balance in profit and loss gross
Retained Earnings,surplus in profit and loss ind as
Retained Earnings,Retained Earnings retained profit standalone
Retained Earnings,Retained Earnings retained earnings total
Retained Earnings,Retained Earnings profit carried forward ind as
Retained Earnings,surplus in profit and loss standalone
Retained Earnings,retained earnings
Retained Earnings,Retained Earnings surplus in profit and loss
Retained Earnings,Retained Earnings retained profit amount
Retained Earnings,Retained Earnings retained profit for the year
Retained Earnings,balance in profit and loss as at
Retained Earnings,accumulated profit total
Retained Earnings,Retained Earnings profit carried forward refer note
Retained Earnings,Retained Earnings accumulated profit net
Retained Earnings,Retained Earnings balance in profit and loss as at
Retained Earnings,Retained Earnings profit carried forward standalone
Retained Earnings,balance in profit and loss for the year
Retained Earnings,surplus in profit and loss march
Retained Earnings,balance in profit and loss march
Retained Earnings,Retained Earnings accumulated profit as at
Retained Earnings,Retained Earnings accumulated profit standalone
Retained Earnings,Retained Earnings accumulated profit ind as
Retained Earnings,Retained Earnings profit carried forward march
Retained Earnings,Retained Earnings retained earnings refer note
Retained Earnings,retained profit consolidated
Retained Earnings,surplus in profit and loss refer note
Retained Earnings,Retained Earnings retained earnings standalone
Retained Earnings,accumulated profit ind as
Retained Earnings,Retained Earnings balance in profit and loss march
Retained Earnings,Retained Earnings retained profit balance
Retained Earnings,profit carried forward for the year
Retained Earnings,Retained Earnings balance in profit and loss ind as
Retained Earnings,retained earnings standalone
Retained Earnings,Retained Earnings retained profit march
Retained Earnings,Retained Earnings retained earnings net
Retained Earnings,Retained Earnings retained earnings for the year
Retained Earnings,retained profit
Retained Earnings,surplus in statement of profit
Retained Earnings,retained profit as at
Retained Earnings,retained profit amount
Retained Earnings,Retained Earnings profit carried forward total
Retained Earnings,Retained Earnings surplus in profit and loss per note
Retained Earnings,surplus in profit and loss balance
Retained Earnings,profit carried forward outstanding
Retained Earnings,Retained Earnings retained earnings ind as
Retained Earnings,Retained Earnings balance in profit and loss
Retained Earnings,Retained Earnings accumulated profit
Retained Earnings,Retained Earnings accumulated profit march
Retained Earnings,retained profit ind as
Retained Earnings,accumulated profit per note
Retained Earnings,profit carried forward per note
Reserves and Surplus,Reserves and Surplus reserves and surplus total
Reserves and Surplus,Reserves and Surplus capital redemption reserve per note
Reserves and Surplus,securities premium reserve outstanding
Reserves and Surplus,securities premium reserve for the year
Reserves and Surplus,Reserves and Surplus reserves and surplus standalone
Reserves and Surplus,Reserves and Surplus reserves and surplus per note
Reserves and Surplus,securities premium as at
Reserves and Surplus,securities premium standalone
Reserves and Surplus,Reserves and Surplus capital redemption reserve march
Reserves and Surplus,Reserves and Surplus general reserve net
Reserves and Surplus,Reserves and Surplus securities premium reserve outstanding
Reserves and Surplus,capital redemption reserve amount
Reserves and Surplus,securities premium reserve balance
Reserves and Surplus,capital redemption reserve march
Reserves and Surplus,Reserves and Surplus reserves and surplus
Reserves and Surplus,securities premium reserve refer note
Reserves and Surplus,Reserves and Surplus securities premium reserve standalone
Reserves and Surplus,Reserves and Surplus reserves and surplus balance
Reserves and Surplus,Reserves and Surplus general reserve gross
Reserves and Surplus,securities premium gross
Reserves and Surplus,Reserves and Surplus securities premium refer note
Reserves and Surplus,Reserves and Surplus reserves and surplus amount
Reserves and Surplus,Reserves and Surplus securities premium reserve balance
Reserves and Surplus,securities premium reserve as at
Reserves and Surplus,reserves and surplus amount
Reserves and Surplus,general reserve amount
Reserves and Surplus,Reserves and Surplus reserve fund
Reserves and Surplus,general reserve ind as
Reserves and Surplus,Reserves and Surplus general reserve ind as
Reserves and Surplus,securities premium ind as
Reserves and Surplus,Reserves and Surplus general reserve outstanding
Reserves and Surplus,Reserves and Surplus capital reserve gross
Reserves and Surplus,Reserves and Surplus surplus reserves
Reserves and Surplus,Reserves and Surplus capital reserve ind as
Reserves and Surplus,Reserves and Surplus securities premium gross
Reserves and Surplus,securities premium reserve per note
Reserves and Surplus,capital redemption reserve schedule
Reserves and Surplus,general reserve balance
Reserves and Surplus,reserves and surplus outstanding
Reserves and Surplus,securities premium refer note
Reserves and Surplus,reserves and surplus ind as
Reserves and Surplus,general reserve outstanding
Reserves and Surplus,capital reserve refer note
Reserves and Surplus,Reserves and Surplus securities premium reserve ind as
Reserves and Surplus,capital redemption reserve as at
Reserves and Surplus,Reserves and Surplus securities premium standalone
Reserves and Surplus,Reserves and Surplus capital redemption reserve for the year
Reserves and Surplus,Reserves and Surplus securities premium reserve schedule
Reserves and Surplus,capital reserve balance
Reserves and Surplus,securities premium reserve amount
Reserves and Surplus,Reserves and Surplus capital redemption reserve as at
Reserves and Surplus,capital redemption reserve
Reserves and Surplus,capital redemption reserve refer note
Reserves and Surplus,Reserves and Surplus securities premium reserve total
Reserves and Surplus,Reserves and Surplus capital reserve as at
Reserves and Surplus,Reserves and Surplus securities premium schedule
Reserves and Surplus,Reserves and Surplus securities premium reserve march
Reserves and Surplus,capital redemption reserve ind as
Reserves and Surplus,reserves and surplus
Reserves and Surplus,general reserve refer note
Reserves and Surplus,Reserves and Surplus securities premium march
Reserves and Surplus,Reserves and Surplus securities premium net
Reserves and Surplus,Reserves and Surplus securities premium reserve consolidated
Reserves and Surplus,securities premium reserve gross
Reserves and Surplus,Reserves and Surplus reserves and surplus refer note
Reserves and Surplus,capital redemption reserve net
Reserves and Surplus,Reserves and Surplus reserves and surplus net
Reserves and Surplus,capital reserve amount
Reserves and Surplus,Reserves and Surplus general reserve march
Reserves and Surplus,Reserves and Surplus general reserve standalone
Reserves and Surplus,reserve fund
Reserves and Surplus,capital reserve standalone
Reserves and Surplus,capital reserve gross
Reserves and Surplus,Reserves and Surplus reserves and surplus consolidated
Reserves and Surplus,Reserves and Surplus securities premium total
Reserves and Surplus,Reserves and Surplus general reserve amount
Reserves and Surplus,Reserves and Surplus securities premium reserve gross
Reserves and Surplus,Reserves and Surplus general reserve
Reserves and Surplus,general reserve consolidated
Reserves and Surplus,Reserves and Surplus capital reserve balance
Reserves and Surplus,Reserves and Surplus statutory reserve
Reserves and Surplus,Reserves and Surplus special reserve
Reserves and Surplus,capital reserve per note
Reserves and Surplus,Reserves and Surplus securities premium amount
Reserves and Surplus,reserves and surplus refer note
Reserves and Surplus,Reserves and Surplus securities premium consolidated
Reserves and Surplus,Reserves and Surplus capital redemption reserve standalone
Reserves and Surplus,reserves and surplus standalone
Reserves and Surplus,securities premium balance
Reserves and Surplus,securities premium reserve total
Reserves and Surplus,Reserves and Surplus capital redemption reserve
Reserves and Surplus,reserves and surplus per note
Reserves and Surplus,securities premium net
Reserves and Surplus,Reserves and Surplus capital redemption reserve net
Reserves and Surplus,Reserves and Surplus general reserve as at
Reserves and Surplus,Reserves and Surplus capital redemption reserve ind as
Reserves and Surplus,Reserves and Surplus securities premium reserve for the year
Reserves and Surplus,capital reserve for the year
Reserves and Surplus,capital reserve ind as
Reserves and Surplus,general reserve as at
Reserves and Surplus,Reserves and Surplus general reserve consolidated
Reserves and Surplus,reserves and surplus balance
Reserves and Surplus,general reserve for the year
Reserves and Surplus,general reserve gross
Reserves and Surplus,Reserves and Surplus capital reserve refer note
Reserves and Surplus,Reserves and Surplus capital reserve
Reserves and Surplus,Reserves and Surplus capital redemption reserve total
Reserves and Surplus,capital redemption reserve consolidated
Reserves and Surplus,securities premium schedule
Reserves and Surplus,Reserves and Surplus reserve and surplus
Reserves and Surplus,securities premium per note
Reserves and Surplus,capital redemption reserve total
Reserves and Surplus,reserves and surplus consolidated
Reserves and Surplus,general reserve per note
Reserves and Surplus,securities premium reserve consolidated
Reserves and Surplus,Reserves and Surplus revaluation reserve
Reserves and Surplus,Reserves and Surplus securities premium ind as
Reserves and Surplus,general reserve standalone
Reserves and Surplus,general reserve net
Reserves and Surplus,Reserves and Surplus capital redemption reserve amount
Reserves and Surplus,securities premium outstanding
Reserves and Surplus,Reserves and Surplus capital reserve net
Reserves and Surplus,general reserve
Reserves and Surplus,Reserves and Surplus capital redemption reserve gross
Reserves and Surplus,Reserves and Surplus capital reserve amount
Reserves and Surplus,reserves and surplus total
Reserves and Surplus,reserves and surplus gross
Reserves and Surplus,Reserves and Surplus general reserve schedule
Reserves and Surplus,general reserve schedule
Reserves and Surplus,capital reserve total
Reserves and Surplus,Reserves and Surplus securities premium as at
Reserves and Surplus,Reserves and Surplus securities premium for the year
Reserves and Surplus,securities premium reserve march
Reserves and Surplus,Reserves and Surplus general reserve total
Reserves and Surplus,Reserves and Surplus capital reserve per note
Reserves and Surplus,securities premium reserve standalone
Reserves and Surplus,Reserves and Surplus capital redemption reserve consolidated
Reserves and Surplus,securities premium total
Reserves and Surplus,Reserves and Surplus capital reserve total
Reserves and Surplus,Reserves and Surplus reserves and surplus ind as
Reserves and Surplus,Reserves and Surplus securities premium reserve net
Reserves and Surplus,capital reserve as at
Reserves and Surplus,Reserves and Surplus securities premium per note
Reserves and Surplus,Reserves and Surplus securities premium
Reserves and Surplus,Reserves and Surplus capital reserve for the year
Reserves and Surplus,securities premium for the year
Reserves and Surplus,revaluation reserve
Reserves and Surplus,Reserves and Surplus securities premium reserve per note
Reserves and Surplus,reserves and surplus schedule
Reserves and Surplus,Reserves and Surplus capital redemption reserve schedule
Reserves and Surplus,Reserves and Surplus general reserve refer note
Reserves and Surplus,Reserves and Surplus capital reserve march
Reserves and Surplus,Reserves and Surplus capital reserve consolidated
Reserves and Surplus,securities premium
Reserves and Surplus,capital reserve march
Reserves and Surplus,securities premium amount
Reserves and Surplus,Reserves and Surplus securities premium outstanding
Reserves and Surplus,Reserves and Surplus securities premium reserve
Reserves and Surplus,special reserve
Reserves and Surplus,Reserves and Surplus reserves and surplus outstanding
Reserves and Surplus,reserves and surplus as at
Reserves and Surplus,capital reserve consolidated
Reserves and Surplus,securities premium reserve schedule
Reserves and Surplus,Reserves and Surplus capital reserve schedule
Reserves and Surplus,Reserves and Surplus reserves and surplus schedule
Reserves and Surplus,Reserves and Surplus securities premium reserve as at
Reserves and Surplus,capital reserve outstanding
Reserves and Surplus,securities premium march
Reserves and Surplus,securities premium reserve ind as
Reserves and Surplus,capital redemption reserve standalone
Reserves and Surplus,Reserves and Surplus securities premium balance
Reserves and Surplus,Reserves and Surplus securities premium reserve refer note
Reserves and Surplus,capital redemption reserve per note
Reserves and Surplus,Reserves and Surplus reserves and surplus march
Reserves and Surplus,capital reserve schedule
Reserves and Surplus,capital reserve net
Reserves and Surplus,securities premium consolidated
Reserves and Surplus,general reserve total
Reserves and Surplus,capital redemption reserve for the year
Reserves and Surplus,reserve and surplus
Reserves and Surplus,reserves and surplus march
Reserves and Surplus,reserves and surplus net
Reserves and Surplus,Reserves and Surplus reserves and surplus as at
Reserves and Surplus,general reserve march
Reserves and Surplus,Reserves and Surplus capital reserve outstanding
Reserves and Surplus,Reserves and Surplus general reserve per note
Reserves and Surplus,Reserves and Surplus reserves and surplus gross
Reserves and Surplus,reserves and surplus for the year
Reserves and Surplus,capital redemption reserve gross
Reserves and Surplus,surplus reserves
Reserves and Surplus,Reserves and Surplus reserves and surplus for the year
Reserves and Surplus,Reserves and Surplus capital reserve standalone
Reserves and Surplus,Reserves and Surplus general reserve balance
Reserves and Surplus,securities premium reserve net
Reserves and Surplus,Reserves and Surplus securities premium reserve amount
Reserves and Surplus,Reserves and Surplus capital redemption reserve refer note
Reserves and Surplus,Reserves and Surplus general reserve for the year
Reserves and Surplus,securities premium reserve
Reserves and Surplus,capital reserve
Reserves and Surplus,statutory reserve
Other Equity,other equity standalone
Other Equity,other components of equity for the year
Other Equity,Other Equity equity attributable consolidated
Other Equity,equity attributable
Other Equity,total equity attributable outstanding
Other Equity,share application money consolidated
Other Equity,other components of equity consolidated
Other Equity,other equity schedule
Other Equity,Other Equity total equity attributable total
Other Equity,equity component refer note
Other Equity,other components of equity outstanding
Other Equity,Other Equity share application money ind as
Other Equity,equity component standalone
Other Equity,Other Equity share application money consolidated
Other Equity,Other Equity share application money balance
Other Equity,other components of equity march
Other Equity,Other Equity other equity for the year
Other Equity,share application money schedule
Other Equity,Other Equity other components of equity amount
Other Equity,total equity attributable refer note
Other Equity,Other Equity total equity attributable for the year
Other Equity,other equity total
Other Equity,total equity attributable total
Other Equity,equity attributable amount
Other Equity,Other Equity equity component refer note
Other Equity,Other Equity other components of equity as at
Other Equity,Other Equity equity attributable as at
Other Equity,equity attributable outstanding
Other Equity,Other Equity money received against share warrants net
Other Equity,Other Equity share application money as at
Other Equity,Other Equity other equity outstanding
Other Equity,other components of equity refer note
Other Equity,other components of equity net
Other Equity,Other Equity equity attributable march
Other Equity,Other Equity other components of equity schedule
Other Equity,Other Equity other components of equity consolidated
Other Equity,other components of equity amount
Other Equity,Other Equity equity component balance
Other Equity,equity attributable consolidated
Other Equity,equity attributable march
Other Equity,Other Equity other equity amount
Other Equity,other components of equity ind as
Other Equity,total equity attributable amount
Other Equity,total equity attributable ind as
Other Equity,Other Equity other equity consolidated
Other Equity,total equity attributable balance
Other Equity,Other Equity other components of equity total
Other Equity,Other Equity other components of equity refer note
Other Equity,Other Equity total equity attributable consolidated
Other Equity,Other Equity share application money per note
Other Equity,Other Equity other components of equity for the year
Other Equity,Other Equity equity component per note
Other Equity,Other Equity equity component
Other Equity,Other Equity share application money total
Other Equity,Other Equity other equity gross
Other Equity,Other Equity equity attributable amount
Other Equity,Other Equity other components of equity
Other Equity,other equity consolidated
Other Equity,Other Equity equity attributable net
Other Equity,Other Equity total equity attributable outstanding
Other Equity,Other Equity share warrant
Other Equity,Other Equity total equity attributable schedule
Other Equity,Other Equity equity component as at
Other Equity,Other Equity total equity attributable
Other Equity,equity component amount
Other Equity,other equity gross
Other Equity,equity attributable balance
Other Equity,Other Equity other components of equity per note
Other Equity,Other Equity equity attributable outstanding
Other Equity,other equity ind as
Other Equity,other components of equity per note
Other Equity,Other Equity total equity attributable refer note
Other Equity,Other Equity equity component outstanding
Other Equity,Other Equity share application money refer note
Other Equity,equity component outstanding
Other Equity,total equity attributable net
Other Equity,Other Equity total equity attributable ind as
Other Equity,Other Equity total equity attributable standalone
Other Equity,other equity
Other Equity,Other Equity equity attributable per note
Other Equity,other equity as at
Other Equity,equity attributable for the year
Other Equity,equity attributable as at
Other Equity,equity component gross
Other Equity,equity component per note
Other Equity,equity component march
Other Equity,Other Equity share application money amount
Other Equity,share warrant
Other Equity,Other Equity other equity per note
Other Equity,other equity balance
Other Equity,other components of equity standalone
Other Equity,other equity outstanding
Other Equity,Other Equity equity attributable schedule
Other Equity,share application money gross
Other Equity,Other Equity equity attributable for the year
Other Equity,Other Equity equity component for the year
Other Equity,total equity attributable gross
Other Equity,Other Equity total equity attributable march
Other Equity,equity attributable net
Other Equity,total equity attributable schedule
Other Equity,Other Equity share application money
Other Equity,equity attributable refer note
Other Equity,other equity march
Other Equity,Other Equity other equity
Other Equity,Other Equity equity component consolidated
Other Equity,Other Equity equity component gross
Other Equity,Other Equity other components of equity outstanding
Other Equity,Other Equity equity attributable gross
Other Equity,share application money for the year
Other Equity,Other Equity total equity attributable net
